"blup_predvar","blup_matRRfit","arron","first_stage_predvar","first_stage_blup_matRRfit"
-6.8,1.14396413728674,"Aalst",-6.8,1.15421793265247
-6.7,1.14160785238955,"Aalst",-6.7,1.15143650971963
-6.6,1.13927822457307,"Aalst",-6.6,1.14869029630083
-6.5,1.13697511035899,"Aalst",-6.5,1.14597907227471
-6.4,1.13469836808118,"Aalst",-6.4,1.14330262064412
-6.3,1.13244785787118,"Aalst",-6.3,1.14066072750728
-6.2,1.13022344164391,"Aalst",-6.2,1.13805318202928
-6.1,1.12802498308356,"Aalst",-6.1,1.13547977641415
-6,1.12585234762971,"Aalst",-6,1.13294030587728
-5.9,1.12370540246362,"Aalst",-5.9,1.13043456861827
-5.8,1.1215840164947,"Aalst",-5.8,1.12796236579432
-5.7,1.11948806034721,"Aalst",-5.7,1.12552350149391
-5.6,1.11741740634709,"Aalst",-5.6,1.12311778271099
-5.5,1.11537192850909,"Aalst",-5.5,1.12074501931954
-5.4,1.11335150252392,"Aalst",-5.4,1.1184050240486
-5.3,1.11135600574574,"Aalst",-5.3,1.1160976124576
-5.2,1.10938531717973,"Aalst",-5.2,1.11382260291223
-5.1,1.10743931746992,"Aalst",-5.1,1.11157981656061
-5,1.10551788888707,"Aalst",-5,1.10936907730985
-4.9,1.10362091531693,"Aalst",-4.9,1.1071902118031
-4.8,1.10174828224844,"Aalst",-4.8,1.10504304939684
-4.7,1.09989987676231,"Aalst",-4.7,1.10292742213868
-4.6,1.09807558751962,"Aalst",-4.6,1.10084316474548
-4.5,1.09627530475069,"Aalst",-4.5,1.09879011458183
-4.4,1.09449892024406,"Aalst",-4.4,1.09676811163891
-4.3,1.09274632733569,"Aalst",-4.3,1.09477699851375
-4.2,1.09101742089823,"Aalst",-4.2,1.09281662038881
-4.1,1.0893120973306,"Aalst",-4.1,1.09088682501192
-4,1.08763025454757,"Aalst",-4,1.0889874626766
-3.9,1.08597179196965,"Aalst",-3.9,1.08711838620273
-3.8,1.08433661051303,"Aalst",-3.8,1.08527945091751
-3.7,1.08272461257971,"Aalst",-3.7,1.08347051463685
-3.6,1.08113570204785,"Aalst",-3.6,1.08169143764704
-3.5,1.07956978426218,"Aalst",-3.5,1.07994208268675
-3.4,1.0780267660246,"Aalst",-3.4,1.07822231492945
-3.3,1.07650655558498,"Aalst",-3.3,1.07653200196604
-3.2,1.07500906263203,"Aalst",-3.2,1.07487101378789
-3.1,1.07353419828439,"Aalst",-3.1,1.07323922277019
-3,1.07208187508182,"Aalst",-3,1.0716365036556
-2.9,1.0706520069766,"Aalst",-2.9,1.07006273353821
-2.8,1.06924450932497,"Aalst",-2.8,1.06851779184789
-2.7,1.06785929887885,"Aalst",-2.7,1.06700156033486
-2.6,1.06649629377758,"Aalst",-2.6,1.0655139230546
-2.5,1.06515541353989,"Aalst",-2.5,1.06405476635313
-2.4,1.063836579056,"Aalst",-2.4,1.06262397885246
-2.3,1.0625397125798,"Aalst",-2.3,1.06122145143653
-2.2,1.06126473772124,"Aalst",-2.2,1.05984707723723
-2.1,1.06001157943881,"Aalst",-2.1,1.05850075162093
-2,1.05878016403223,"Aalst",-2,1.05718237217513
-1.9,1.05757041913517,"Aalst",-1.9,1.05589183869553
-1.8,1.05638227370818,"Aalst",-1.8,1.05462905317331
-1.7,1.05521565803178,"Aalst",-1.7,1.05339391978275
-1.6,1.05407050369959,"Aalst",-1.6,1.05218634486907
-1.5,1.05294674361165,"Aalst",-1.5,1.05100623693665
-1.4,1.05184431196791,"Aalst",-1.4,1.04985350663745
-1.3,1.05076314426177,"Aalst",-1.3,1.04872806675971
-1.2,1.0497031772738,"Aalst",-1.2,1.04762983221701
-1.1,1.04866434906559,"Aalst",-1.1,1.04655872003751
-1,1.04764659897371,"Aalst",-1,1.04551464935352
-0.9,1.04664986760381,"Aalst",-0.9,1.04449754139131
-0.800000000000001,1.04567409682483,"Aalst",-0.800000000000001,1.04350731946123
-0.7,1.04471922976337,"Aalst",-0.7,1.04254390894803
-0.600000000000001,1.04378521079816,"Aalst",-0.600000000000001,1.04160723730154
-0.5,1.04287198555465,"Aalst",-0.5,1.04069723402754
-0.4,1.04197950089974,"Aalst",-0.4,1.03981383067892
-0.300000000000001,1.04110770493665,"Aalst",-0.300000000000001,1.0389569608471
-0.2,1.04025654699985,"Aalst",-0.2,1.03812656015369
